gene_id,SRR1048058,SRR1048059,SRR1048060,SRR1048061,SRR1048062,SRR1048063
MSTRG.41846,6,211,333,256,191,330
MSTRG.41845,0,11,0,0,0,1
MSTRG.41844,0,2,0,6,0,8
MSTRG.41843,21,309,693,395,370,505
MSTRG.41842,38,272,245,192,182,375
MSTRG.41841,93,747,536,469,889,1078
MSTRG.41840,2,74,47,334,262,224
MSTRG.45365,3,6,86,95,54,56
ENSDARG00000103832,0,0,0,8,0,6
ENSDARG00000006598,0,25,0,0,0,77
ENSDARG00000088725,0,0,0,0,0,0
ENSDARG00000106846,0,0,0,0,0,0
MSTRG.43566,0,141,363,138,47,215
MSTRG.43567,0,0,0,0,0,0
MSTRG.43564,0,99,82,25,32,43
MSTRG.43565,0,16,0,0,0,0
MSTRG.43562,0,0,0,8,0,0
MSTRG.43563,0,116,266,128,66,103
MSTRG.43560,0,19,58,77,69,62
MSTRG.43561,34,181,207,486,356,393
MSTRG.43568,0,0,0,0,0,0
MSTRG.43569,0,0,14,0,0,0
ENSDARG00000031150,0,0,0,0,0,11
ENSDARG00000098468,0,0,0,0,0,0
MSTRG.12768,81,540,723,681,757,1064
MSTRG.34190,0,23,43,35,21,47
MSTRG.12762,1,6,16,0,17,11
MSTRG.12763,0,0,9,0,0,0
ENSDARG00000098463,0,1,6,3,0,0
ENSDARG00000098462,0,0,0,0,0,0
MSTRG.12766,0,6,0,70,41,5
MSTRG.12767,0,0,0,6,26,15
MSTRG.12764,0,0,0,0,23,2
MSTRG.12765,0,3,21,3,3,0
MSTRG.38148,0,6,29,16,3,4
ENSDARG00000080258,0,0,0,0,0,0
MSTRG.33483,0,0,14,0,0,2
MSTRG.38142,0,12,38,35,83,35
MSTRG.10893,0,87,124,61,53,109
MSTRG.38140,26,325,540,838,429,441
MSTRG.10891,0,28,36,8,14,37
MSTRG.10896,0,6,0,8,0,5
MSTRG.38147,0,31,108,77,45,27
MSTRG.38144,0,9,45,61,2,11
MSTRG.10895,77,462,906,1131,744,968
MSTRG.17048,1,3,2,24,0,2
MSTRG.17049,0,3,15,0,0,0
MSTRG.33178,0,0,0,0,0,0
MSTRG.33179,0,0,0,0,0,0
MSTRG.17040,24,185,189,365,132,296
MSTRG.17041,0,8,41,46,33,25
MSTRG.33170,0,0,7,0,0,7
MSTRG.33171,0,4,0,0,0,0
MSTRG.17044,11,62,96,141,75,73
MSTRG.17045,13,195,426,487,464,677
MSTRG.33174,0,0,0,0,0,0
MSTRG.33175,0,0,0,0,0,0
ENSDARG00000092607,0,0,0,0,0,0
ENSDARG00000092603,0,0,0,0,0,0
MSTRG.12498,0,13,0,0,0,0
MSTRG.12499,4,36,118,36,37,59
MSTRG.12494,178,1012,1943,1889,1643,1900
ENSDARG00000089233,0,0,0,0,0,21
MSTRG.12496,0,0,28,0,0,2
MSTRG.12497,115,1023,1790,2069,1617,1871
MSTRG.12490,0,0,0,0,0,0
MSTRG.12491,0,0,12,0,0,0
ENSDARG00000089234,0,0,0,0,0,0
ENSDARG00000089235,0,0,0,3,0,0
MSTRG.31279,0,0,33,0,0,0
ENSDARG00000092259,0,5,8,6,0,0
MSTRG.9065,0,0,0,0,0,0
ENSDARG00000097635,0,0,0,22,0,2
ENSDARG00000105200,0,0,0,0,0,0
MSTRG.38431,0,4,8,0,0,0
MSTRG.44725,0,29,0,0,0,0
MSTRG.44724,14,41,98,100,0,120
MSTRG.44727,4,45,56,21,16,80
MSTRG.44726,0,53,0,16,41,101
MSTRG.44721,0,11,0,0,0,0
MSTRG.44720,0,0,0,0,8,0
MSTRG.44723,0,1,0,2,11,2
MSTRG.44722,0,20,0,42,36,42
ENSDARG00000105203,0,0,0,0,0,0
MSTRG.44729,12,14,23,36,26,51
MSTRG.44728,0,0,13,0,0,0
MSTRG.40035,0,0,24,0,0,0
MSTRG.40034,30,67,97,80,104,106
MSTRG.40037,0,0,0,25,2,0
ENSDARG00000102181,0,0,0,0,0,0
MSTRG.40031,41,472,678,529,340,899
MSTRG.40030,82,475,663,788,623,672
MSTRG.40033,0,51,27,46,52,27
MSTRG.40032,0,0,2,3,11,0
MSTRG.38436,0,10,0,0,0,4
ENSDARG00000102189,0,0,0,0,0,0
MSTRG.40039,0,0,4,0,11,0
MSTRG.40038,8,13,19,34,41,42
ENSDARG00000083753,0,0,0,0,0,0
ENSDARG00000093871,0,0,3,2,0,3
ENSDARG00000017078,0,0,0,0,0,0
ENSDARG00000093550,0,0,0,0,0,0
ENSDARG00000087989,0,0,0,0,0,0
MSTRG.2508,0,28,10,80,17,19
MSTRG.2509,0,1,37,6,0,4
MSTRG.34199,0,25,22,38,9,15
MSTRG.2500,1,31,42,34,62,31
MSTRG.2501,0,7,3,24,5,10
MSTRG.2502,2,27,27,48,4,44
MSTRG.2503,0,8,12,33,30,11
MSTRG.2504,0,18,79,12,28,33
MSTRG.2505,0,15,11,97,0,19
MSTRG.2506,0,4,2,16,3,6
MSTRG.2507,0,11,0,2,4,0
MSTRG.3679,0,6,0,29,0,33
MSTRG.3678,4,242,330,725,524,816
MSTRG.3671,89,425,618,1171,1028,1544
MSTRG.3670,0,0,0,0,10,0
MSTRG.3673,114,546,986,1162,847,1242
MSTRG.3672,0,0,0,0,3,11
MSTRG.3675,0,8,9,27,19,0
MSTRG.3674,6,233,606,747,657,533
MSTRG.3677,0,0,8,0,0,0
MSTRG.3676,0,12,39,31,17,52
MSTRG.20811,0,20,46,112,19,38
MSTRG.20810,0,84,64,87,69,71
MSTRG.25865,0,14,27,0,20,24
MSTRG.34093,1862,12924,14051,8251,10356,10605
MSTRG.4902,1278,11175,17075,26939,13696,22244
MSTRG.4903,0,217,168,439,190,370
MSTRG.4900,87,1444,1605,2207,721,1663
MSTRG.20812,0,24,27,16,2,23
MSTRG.4906,82,390,374,689,587,549
MSTRG.4907,0,38,41,74,27,76
MSTRG.4904,0,0,0,0,0,0
MSTRG.4905,0,20,26,31,39,43
MSTRG.25863,0,0,0,0,24,3
MSTRG.4908,4,27,29,9,4,38
MSTRG.4909,0,2,2,10,0,8
MSTRG.25862,0,0,0,0,0,0
MSTRG.20817,16,64,140,199,139,252
MSTRG.42769,7,69,161,77,114,171
MSTRG.42768,0,0,0,8,0,0
MSTRG.42767,4,49,6,25,26,34
MSTRG.42766,0,0,0,0,0,6
MSTRG.42765,0,154,106,187,124,135
MSTRG.25860,0,0,0,15,0,0
MSTRG.42763,0,24,14,43,92,51
